file_name,alloy,card,n_labeled,n_rows,frac_labeled
AA5xxx Card - 027F.docx,AA5xxx,027F,1,1,1.0
AA5xxx Card - 027G.docx,AA5xxx,027G,1,1,1.0
AA5xxx Card - 027H.docx,AA5xxx,027H,1,1,1.0
AA5xxx Card - 027I.docx,AA5xxx,027I,1,1,1.0
AA5xxx Card - 027J.docx,AA5xxx,027J,1,1,1.0
AA5xxx Card - 027K.docx,AA5xxx,027K,1,1,1.0
AA5xxx Card - 027L.docx,AA5xxx,027L,1,1,1.0
AA5xxx Card - 027M.docx,AA5xxx,027M,1,1,1.0
AA5xxx Card - 027N.docx,AA5xxx,027N,1,1,1.0
AA5xxx Card - 027O.docx,AA5xxx,027O,1,1,1.0
AA5xxx Card - 027P.docx,AA5xxx,027P,1,1,1.0
AA5xxx Card - 027Q.docx,AA5xxx,027Q,1,1,1.0
AA5xxx Card - 027R.docx,AA5xxx,027R,1,1,1.0
AA5xxx Card - 027S.docx,AA5xxx,027S,1,1,1.0
AA5xxx Card - 028A.docx,AA5xxx,028A,1,1,1.0
AA5xxx Card - 028B.docx,AA5xxx,028B,1,1,1.0
AA5xxx Card - 028C.docx,AA5xxx,028C,1,1,1.0
AA5xxx Card - 028D.docx,AA5xxx,028D,1,1,1.0
AA5xxx Card - 028E.docx,AA5xxx,028E,1,1,1.0
AA5xxx Card - 028F.docx,AA5xxx,028F,1,1,1.0
AA5xxx Card - 029A.docx,AA5xxx,029A,1,1,1.0
AA5xxx Card - 029B.docx,AA5xxx,029B,1,1,1.0
AA5xxx Card - 029C.docx,AA5xxx,029C,1,1,1.0
AA5xxx Card - 029D.docx,AA5xxx,029D,1,1,1.0
AA5xxx Card - 029E.docx,AA5xxx,029E,1,1,1.0
AA5xxx Card - 030A.docx,AA5xxx,030A,1,1,1.0
AA5xxx Card - 031A.docx,AA5xxx,031A,1,1,1.0
AA5xxx Card - 031B.docx,AA5xxx,031B,1,1,1.0
AA5xxx Card - 032A.docx,AA5xxx,032A,1,1,1.0
AA5xxx Card - 032B.docx,AA5xxx,032B,1,1,1.0
AA5xxx Card - 032C.docx,AA5xxx,032C,1,1,1.0
AA5xxx Card - 032D.docx,AA5xxx,032D,1,1,1.0
AA5xxx Card - 033A.docx,AA5xxx,033A,1,1,1.0
AA5xxx Card - 033B.docx,AA5xxx,033B,1,1,1.0
AA5xxx Card - 034A.docx,AA5xxx,034A,1,1,1.0
AA5xxx Card - 034B.docx,AA5xxx,034B,1,1,1.0
AA5xxx Card - 034C.docx,AA5xxx,034C,1,1,1.0
AA5xxx Card - 034D.docx,AA5xxx,034D,1,1,1.0
AA5xxx Card - 034E.docx,AA5xxx,034E,1,1,1.0
AA5xxx Card - 034F.docx,AA5xxx,034F,1,1,1.0
AA5xxx Card - 035A.docx,AA5xxx,035A,1,1,1.0
AA5xxx Card - 035B.docx,AA5xxx,035B,1,1,1.0
AA5xxx Card - 035C.docx,AA5xxx,035C,1,1,1.0
AA5xxx Card - 035D.docx,AA5xxx,035D,1,1,1.0
