group_1,group_2,group_3,target,n_rows
AA5xxx Card - 036J.docx,AA5xxx,036J,UniformEL,1
AA5xxx Card - 036K.docx,AA5xxx,036K,UniformEL,1
AA5xxx Card - 036L.docx,AA5xxx,036L,UniformEL,1
AA5xxx Card - 036M.docx,AA5xxx,036M,UniformEL,1
AA5xxx Card - 036N.docx,AA5xxx,036N,UniformEL,1
AA5xxx Card - 036O.docx,AA5xxx,036O,UniformEL,1
AA5xxx Card - 036P.docx,AA5xxx,036P,UniformEL,1
AA5xxx Card - 037A.docx,AA5xxx,037A,UniformEL,1
AA5xxx Card - 037B.docx,AA5xxx,037B,UniformEL,1
AA5xxx Card - 038A.docx,AA5xxx,038A,UniformEL,1
AA5xxx Card - 038B.docx,AA5xxx,038B,UniformEL,1
AA5xxx Card - 038C.docx,AA5xxx,038C,UniformEL,1
AA5xxx Card - 039A.docx,AA5xxx,039A,UniformEL,1
AA5xxx Card - 039B.docx,AA5xxx,039B,UniformEL,1
AA5xxx Card - 039C.docx,AA5xxx,039C,UniformEL,1
AA5xxx Card - 040A.docx,AA5xxx,040A,UniformEL,1
AA5xxx Card - 040B.docx,AA5xxx,040B,UniformEL,1
AA5xxx Card - 040C.docx,AA5xxx,040C,UniformEL,1
AA5xxx Card - 040D.docx,AA5xxx,040D,UniformEL,1
AA5xxx Card - 040E.docx,AA5xxx,040E,UniformEL,1
AA5xxx Card - 040F.docx,AA5xxx,040F,UniformEL,1
AA5xxx Card - 042A.docx,AA5xxx,042A,UniformEL,1
AA5xxx Card - 042C.docx,AA5xxx,042C,UniformEL,1
AA5xxx Card - 042D.docx,AA5xxx,042D,UniformEL,1
AA5xxx Card - 042E.docx,AA5xxx,042E,UniformEL,1
AA5xxx Card - 042F.docx,AA5xxx,042F,UniformEL,1
AA5xxx Card - 043B.docx,AA5xxx,043B,UniformEL,1
AA5xxx Card - 043C.docx,AA5xxx,043C,UniformEL,1
AA5xxx Card - 043D.docx,AA5xxx,043D,UniformEL,1
AA5xxx Card - 043E.docx,AA5xxx,043E,UniformEL,1
AA5xxx Card - 043F.docx,AA5xxx,043F,UniformEL,1
AA5xxx Card - 044B.docx,AA5xxx,044B,UniformEL,1
AA5xxx Card - 044C.docx,AA5xxx,044C,UniformEL,1
AA5xxx Card - 044D.docx,AA5xxx,044D,UniformEL,1
AA5xxx Card - 044E.docx,AA5xxx,044E,UniformEL,1
AA5xxx Card - 045A.docx,AA5xxx,045A,UniformEL,1
AA5xxx Card - 045B.docx,AA5xxx,045B,UniformEL,1
AA5xxx Card - 045C.docx,AA5xxx,045C,UniformEL,1
AA5xxx Card - 045D.docx,AA5xxx,045D,UniformEL,1
AA5xxx Card - 045E.docx,AA5xxx,045E,UniformEL,1
AA5xxx Card - 046A.docx,AA5xxx,046A,UniformEL,1
AA5xxx Card - 046B.docx,AA5xxx,046B,UniformEL,1
AA5xxx Card - 046C.docx,AA5xxx,046C,UniformEL,1
AA5xxx Card - 046D.docx,AA5xxx,046D,UniformEL,1
