file_name,alloy,card,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ti,Zr,Sc,Other,YS (MPa),UTS (MPa),Uniform EL (percentage),Fracture EL (percentage),YPE (percentage),Casting,Ingot thickness,Homogenization (Celsius/Minutes),Hot rolling reduction (percentage),Cold rolling reduction (percentage),Recrystallization annealing (Celsius/Minutes),Mean grain size (µm),Secondary phase particle size and density,Crystallographic texture,,,,,,
AA5xxx Card - 006A.docx,AA5xxx,006A,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,75,215,,26,0,DC,635,540°C > 5 hours,99.6,20,"Batch annealing, 350°C 2 hours",37.5,N/A,,,,,,,
AA5xxx Card - 006B.docx,AA5xxx,006B,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,78,215,,25,0,DC,635,540°C > 5 hours,99.6,26,"Batch annealing, 350°C 2 hours",36.5,N/A,,,,,,,
AA5xxx Card - 006C.docx,AA5xxx,006C,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,80,215,,24,0.3,DC,635,540°C > 5 hours,99.6,38,"Batch annealing, 350°C 2 hours",32,N/A,,,,,,,
AA5xxx Card - 006D.docx,AA5xxx,006D,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,84,216,,23,0.6,DC,635,540°C > 5 hours,99.6,43,"Batch annealing, 350°C 2 hours",26,N/A,,,,,,,
AA5xxx Card - 006E.docx,AA5xxx,006E,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,86.5,217.5,,21.8,0.7,DC,635,540°C > 5 hours,99.6,54,"Batch annealing, 350°C 2 hours",22.5,N/A,,,,,,,
AA5xxx Card - 006F.docx,AA5xxx,006F,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,93,218,,21,1,DC,635,540°C > 5 hours,99.6,71,"Batch annealing, 350°C 2 hours",18,N/A,,,,,,,
AA5xxx Card - 007A.docx,AA5xxx,007A,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,74,214,,25,0,DC,635,540°C > 5 hours,99.6,18,"Batch annealing, 340°C 2 hours",39.1,N/A,,,,,,,
AA5xxx Card - 007B.docx,AA5xxx,007B,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,80,218,,25,0.1,DC,635,540°C > 5 hours,99.6,26,"Batch annealing, 340°C 2 hours",36.7,N/A,,,,,,,
AA5xxx Card - 007C.docx,AA5xxx,007C,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,78,210,,22,0.3,DC,635,540°C > 5 hours,99.6,40,"Batch annealing, 340°C 2 hours",28.3,N/A,,,,,,,
AA5xxx Card - 007D.docx,AA5xxx,007D,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,82,212,,22.3,0.6,DC,635,540°C > 5 hours,99.6,42,"Batch annealing, 340°C 2 hours",25.5,N/A,,,,,,,
